name,id,lat,lon,population,number,score,parent_country,success,is_altername
Arizona,0000197610,34.0489281,-111.0937311,7151502,7.0,1.0,USA,True,False
South Carolina,0000212864,33.836081,-81.1637245,5118425,13.0,1.0,USA,True,False
Charleston,0000197882,35.29704,-94.03632,1567,2.0,0.14992503748125932,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,11.0,0.5628344237673027,USA,True,False
New Hampshire,0000207498,43.1938516,-71.5723953,1377529,17.0,1.0,USA,True,False
Iowa,0000202733,41.8780025,-93.097702,1000000,14.0,0.5909090909090908,USA,True,False
Maryland,0000204446,39.0457549,-76.6412712,6177224,15.0,1.0,USA,True,False
Arkansas,0000197838,35.20105,-91.8318334,3011524,16.0,1.0,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,18.0,1.0,USA,True,False
Virginia,0000215288,37.4315734,-78.6568942,1000000,19.0,0.48139411736388577,USA,True,False
New Jersey,0000207685,40.0583238,-74.4056612,9288994,20.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,21.0,1.0,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,,,USA,True,False
Minnesota,0000205745,46.729553,-94.6858998,5706494,,,USA,True,False
Butte,0000197527,61.54222,-149.03333,3246,0.0,0.35714285714285715,USA,True,False
Haakon County,0000213212,44.29443,-101.53999,1872,1.0,1.0,USA,True,False
Ziebach County,0000213315,44.98041,-101.66586,2413,2.0,1.0,USA,True,False
Meade,0000203308,37.28558,-100.34015,1505,3.0,1.0,USA,True,False
Meade County,0000203309,37.2382,-100.36618,0,5.0,0.3333333333333333,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,6.0,1.0,USA,True,False
Santa Barbara,0000199011,34.42083,-119.69819,91842,,,USA,True,False
Merced County,0000198737,37.19186,-120.71767,281202,,,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,,,USA,True,False
Utah,0000214983,39.3209801,-111.0937311,3271616,,,USA,True,False
Paris,0000198053,35.29203,-93.72992,506,0.0,0.136986301369863,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,1.0,1.0,USA,True,False
New Mexico,0000208239,34.5199402,-105.8700901,2117522,2.0,1.0,USA,True,False
Tennessee,0000213316,35.5174913,-86.5804473,6910840,3.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,4.0,1.0,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,6.0,0.5628344237673027,USA,True,False
Louisiana,0000203829,30.9842977,-91.9623327,1000000,9.0,0.5909090909090908,USA,True,False
Riverton,0000202092,39.84422,-89.53954,10873,,,USA,True,False
Minnesota,0000205745,46.729553,-94.6858998,5706494,,,USA,True,False
Montgomery County,0000197379,32.22026,-86.20761,0,,,USA,True,False
Concordia,0000203175,39.57084,-97.66254,3092,,,USA,True,False
Selma,0000197445,32.40736,-87.0211,695,1.0,0.2702702702702703,USA,True,False
Alabama,0000197134,32.3182314,-86.902298,1000000,2.0,0.5909090909090908,USA,True,False
Oregon,0000211241,43.8041334,-120.5542012,1000000,1.0,0.28077753779697623,USA,True,False
Medford,0000205009,42.41843,-71.10616,79805,2.0,0.18181818181818182,USA,True,False
Ashland,0000197147,33.27373,-85.83607,20861,3.0,0.0689655172413793,USA,True,False
Pennsylvania,0000211498,41.2033216,-77.1945247,13002700,,,USA,True,False
Meade County,0000203309,37.2382,-100.36618,0,1.0,0.3333333333333333,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,5.0,1.0,USA,True,False
Watertown,0000199710,41.60621,-73.11817,23819,3.0,0.136986301369863,USA,True,False
Sisseton,0000213288,45.66468,-97.0498,2479,4.0,1.0,USA,True,False
Minnesota,0000205745,46.729553,-94.6858998,5706494,6.0,1.0,USA,True,False
Lyon County,0000202943,43.3805,-96.21029,0,7.0,0.2,USA,True,False
Iowa,0000202733,41.8780025,-93.097702,1000000,8.0,0.5909090909090908,USA,True,False
Kentucky,0000203439,37.8393332,-84.2700179,4505836,14.0,1.0,USA,True,False
Fleming-Neon,0000217338,37.19232,-82.70571,728,4.0,1.0,USA,True,False
Breathitt County,0000203475,37.52162,-83.32409,13718,11.0,1.0,USA,True,False
Louisville,0000199434,39.97776,-105.13193,20396,19.0,0.136986301369863,USA,True,False
